,date,team,player,action,notes
0,2015-10-28,Celtics,James Young,relinquished,placed on IL
1,2015-10-28,Celtics,R.J. Hunter,relinquished,placed on IL will illness
2,2015-10-28,Clippers,Branden Dawson,relinquished,placed on IL
3,2015-10-28,Clippers,C.J. Wilcox,relinquished,placed on IL
4,2015-10-28,Grizzlies,Jarell Martin,relinquished,placed on IL recovering from surgery on left foot to repair fracture
5,2015-10-28,Grizzlies,Jarnell Stokes,relinquished,placed on IL
6,2015-10-28,Heat,Amare Stoudemire / Amar'e Stoudemire,relinquished,placed on IL with rehab of knee
7,2015-10-28,Heat,Josh Richardson,relinquished,placed on IL
8,2015-10-28,Hornets,Jeremy Lamb,relinquished,sprained right ankle (DTD)
9,2015-10-28,Hornets,Michael Kidd-Gilchrist,relinquished,placed on IL recovering from surgery on right shoulder to repair torn labrum
10,2015-10-28,Hornets,Troy Daniels,relinquished,placed on IL with strained left hamstring
11,2015-10-28,Jazz,Dante Exum,relinquished,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
12,2015-10-28,Jazz,Jeff Withey,relinquished,placed on IL
13,2015-10-28,Kings,Duje Dukan,relinquished,placed on IL
14,2015-10-28,Kings,Eric Moreland,relinquished,placed on IL
15,2015-10-28,Knicks,Louis Amundson / Lou Amundson,relinquished,placed on IL with sore lower back
16,2015-10-28,Lakers,Larry Nance Jr.,relinquished,placed on IL with tendinitis in right knee
17,2015-10-28,Lakers,Metta World Peace / Ron Artest,relinquished,placed on IL
18,2015-10-28,Magic,Roy Devyn Marble / Roy Marble (Devyn),relinquished,placed on IL
19,2015-10-28,Mavericks,Chandler Parsons,relinquished,placed on IL with recovering from arthroscopic surgery on right knee to repair cartilage damage
20,2015-10-28,Mavericks,JaVale McGee,relinquished,placed on IL with stress fracture in tibia in left leg
21,2015-10-28,Nets,Thomas Robinson,acquired,returned to lineup
22,2015-10-28,Nuggets,Wilson Chandler,relinquished,placed on IL with strained right hip (out for season)
23,2015-10-28,Pacers,Glenn Robinson III,relinquished,placed on IL with sore right shoulder
24,2015-10-28,Pacers,Myles Turner,relinquished,sore right ankle (DTD)
25,2015-10-28,Pacers,Rakeem Christmas,relinquished,placed on IL
26,2015-10-28,Pelicans,Jrue Holiday,acquired,returned to lineup
27,2015-10-28,Pistons,Darrun Hilliard,relinquished,placed on IL
28,2015-10-28,Pistons,Anthony Tolliver,acquired,activated from IL
29,2015-10-28,Raptors,Bruno Caboclo,relinquished,placed on IL
30,2015-10-28,Raptors,Lucas Nogueira,relinquished,placed on IL
31,2015-10-28,Rockets,Donatas Motiejunas,relinquished,placed on IL with sore lower back
32,2015-10-28,Spurs,Boban Marjanovic,relinquished,placed on IL
33,2015-10-28,Spurs,Jonathon Simmons,relinquished,placed on IL
34,2015-10-28,Suns,Cory Jefferson,relinquished,placed on IL
35,2015-10-28,Thunder,Josh Huestis,relinquished,placed on IL
36,2015-10-28,Thunder,Steve Novak,relinquished,placed on IL
37,2015-10-28,Timberwolves,Nikola Pekovic,relinquished,placed on IL recovering from surgery on right Achilles
38,2015-10-28,Timberwolves,Tyus Jones,relinquished,placed on IL
39,2015-10-28,Warriors,Andrew Bogut,relinquished,concussion (DTD)
40,2015-10-28,Wizards,Alan Anderson,relinquished,placed on IL recovering from surgery on left ankle to remove bone fragment
41,2015-10-28,Wizards,Martell Webster,relinquished,placed on IL with sore right hip (out for season)
42,2015-10-29,Clippers,Austin Rivers,relinquished,"fined $25,000 by NBA for throwing seat cushion into stands during game"
43,2015-10-29,Hawks,Mike Muscala,relinquished,placed on IL with ankle injury
44,2015-10-29,Hawks,Thabo Sefolosha,relinquished,placed on IL with ankle injury
45,2015-10-29,Hawks,Tim Hardaway Jr.,acquired,activated from IL
46,2015-10-29,Hawks,Walter Tavares / Edy Tavares,acquired,activated from IL
47,2015-10-29,Mavericks,Deron Williams,relinquished,sprained left knee (DTD)
48,2015-10-29,Mavericks,Wesley Matthews / Wes Matthews Jr.,relinquished,rest (DTD)
49,2015-10-29,Pacers,Paul George,relinquished,"fined $10,000 by NBA for criticizing referees following game"
50,2015-10-29,Pacers,Glenn Robinson III,acquired,activated from IL
51,2015-10-29,Pacers,Myles Turner,acquired,returned to lineup
52,2015-10-29,Pistons,Jodie Meeks,relinquished,fractured right foot (out indefinitely)
53,2015-10-30,76ers,Nik Stauskas,acquired,returned to lineup
54,2015-10-30,Bucks,John Henson,relinquished,sore left Achilles (DTD)
55,2015-10-30,Bucks,Giannis Antetokounmpo,acquired,reinstated from suspension
56,2015-10-30,Bulls,Cameron Bairstow,relinquished,placed on IL
57,2015-10-30,Bulls,Cristiano Felicio,acquired,activated from IL
58,2015-10-30,Celtics,Jordan Mickey,relinquished,placed on IL
59,2015-10-30,Celtics,Kelly Olynyk,acquired,reinstated from suspension
60,2015-10-30,Celtics,R.J. Hunter,acquired,activated from IL
61,2015-10-30,Hawks,Kyle Korver,relinquished,placed on IL
62,2015-10-30,Hawks,Thabo Sefolosha,acquired,activated from IL
63,2015-10-30,Heat,Chris Andersen,relinquished,placed on IL
64,2015-10-30,Heat,Amare Stoudemire / Amar'e Stoudemire,acquired,activated from IL
65,2015-10-30,Hornets,Jeremy Lamb,acquired,returned to lineup
66,2015-10-30,Jazz,Trevor Booker,acquired,reinstated from suspension
67,2015-10-30,Kings,Quincy Acy,relinquished,placed on IL
68,2015-10-30,Kings,Eric Moreland,acquired,activated from IL
69,2015-10-30,Nets,Chris McCullough,relinquished,placed on IL with knee injury
70,2015-10-30,Nets,Willie Reed,relinquished,placed on IL recovering from surgery on right thumb to repair torn ligament
71,2015-10-30,Nets,Jarrett Jack,acquired,returned to lineup
72,2015-10-30,Nuggets,Jusuf Nurkic,relinquished,placed on IL with bruised knee
73,2015-10-30,Pistons,Darrun Hilliard,acquired,activated from IL
74,2015-10-30,Rockets,Dwight Howard,acquired,reinstated from suspension
75,2015-10-30,Thunder,Cameron Payne,relinquished,placed on IL
76,2015-10-30,Thunder,Steve Novak,acquired,activated from IL
77,2015-10-30,Warriors,Andrew Bogut,relinquished,placed on IL with concussion
78,2015-10-30,Warriors,Ian Clark,acquired,activated from IL
79,2015-10-30,Pistons,Jodie Meeks,relinquished,surgery on right foot to repair fracture (date approximate)
80,2015-10-30,Pistons,Jodie Meeks,relinquished,placed on IL with fractured right foot
81,2015-10-31,Jazz,Tibor Pleiss,relinquished,placed on IL
82,2015-10-31,Jazz,Jeff Withey,acquired,activated from IL
83,2015-10-31,Kings,Eric Moreland,relinquished,placed on IL
84,2015-10-31,Kings,Quincy Acy,acquired,activated from IL
85,2015-10-31,Pacers,Glenn Robinson III,relinquished,shoulder injury (DTD)
86,2015-10-31,Pelicans,Luke Babbitt,acquired,returned to lineup
87,2015-10-31,Pelicans,Omer Asik,acquired,returned to lineup
88,2015-11-01,Bulls,Kirk Hinrich,relinquished,placed on IL with sore toe
89,2015-11-01,Bulls,Cameron Bairstow,acquired,activated from IL
90,2015-11-01,Hawks,Tim Hardaway Jr.,relinquished,placed on IL
91,2015-11-01,Hawks,Walter Tavares / Edy Tavares,relinquished,placed on IL
92,2015-11-01,Hawks,Kyle Korver,acquired,activated from IL
93,2015-11-01,Hawks,Mike Muscala,acquired,activated from IL
94,2015-11-01,Hornets,Aaron Harrison,relinquished,placed on IL
95,2015-11-01,Hornets,Troy Daniels,acquired,activated from IL
96,2015-11-01,Lakers,Robert Sacre,relinquished,placed on IL
97,2015-11-01,Lakers,Metta World Peace / Ron Artest,acquired,activated from IL
98,2015-11-01,Mavericks,Justin Anderson,relinquished,placed on IL
99,2015-11-01,Mavericks,Chandler Parsons,acquired,activated from IL
100,2015-11-01,Mavericks,Deron Williams,acquired,returned to lineup
101,2015-11-01,Mavericks,Wesley Matthews / Wes Matthews Jr.,acquired,returned to lineup
102,2015-11-01,Pelicans,Kendrick Perkins,relinquished,strained right pectoral muscle (DTD)
103,2015-11-01,Rockets,Dwight Howard,relinquished,rest (DTD)
104,2015-11-01,Rockets,Terrence Jones,relinquished,placed on IL with facial (eyelid) injury
105,2015-11-01,Thunder,Steve Novak,relinquished,placed on IL
106,2015-11-01,Thunder,Cameron Payne,acquired,activated from IL
107,2015-11-02,76ers,Robert Covington,acquired,returned to lineup
108,2015-11-02,Cavaliers,Sasha Kaun,relinquished,personal reasons (DTD)
109,2015-11-02,Knicks,Kevin Seraphin,acquired,returned to lineup
110,2015-11-02,Rockets,Chuck Hayes,relinquished,foot injury (DTD)
111,2015-11-02,Rockets,Dwight Howard,acquired,returned to lineup
112,2015-11-02,Spurs,Matt Bonner,relinquished,placed on IL
113,2015-11-02,Spurs,Boban Marjanovic,acquired,activated from IL
114,2015-11-02,Suns,Devin Booker,relinquished,placed on IL with ankle injury
115,2015-11-02,Suns,Cory Jefferson,acquired,activated from IL
116,2015-11-03,76ers,Robert Covington,relinquished,sprained MCL in right knee (DTD)
117,2015-11-03,Cavaliers,J.R. Smith,relinquished,bruised right knee (DTD)
118,2015-11-03,Hawks,Mike Muscala,relinquished,sore right ankle (DTD)
119,2015-11-03,Hawks,Thabo Sefolosha,relinquished,placed on IL with ankle injury
120,2015-11-03,Hawks,Tim Hardaway Jr.,acquired,activated from IL
121,2015-11-03,Heat,Amare Stoudemire / Amar'e Stoudemire,relinquished,placed on IL with rehab of knee
122,2015-11-03,Heat,Gerald Green (b. 1986-01-26),relinquished,placed on IL with illness
123,2015-11-03,Heat,Chris Andersen,acquired,activated from IL
124,2015-11-03,Heat,Josh Richardson,acquired,activated from IL
125,2015-11-03,Kings,DeMarcus Cousins,relinquished,placed on IL with strained Achilles
126,2015-11-03,Kings,Eric Moreland,acquired,activated from IL
127,2015-11-03,Lakers,Anthony Brown,relinquished,placed on IL
128,2015-11-03,Mavericks,John Jenkins,relinquished,placed on IL
129,2015-11-03,Mavericks,Justin Anderson,acquired,activated from IL
130,2015-11-03,Nuggets,Joffrey Lauvergne,relinquished,strained lower back (DTD)
131,2015-11-03,Nuggets,Nikola Jokic,relinquished,strained lower back (DTD)
132,2015-11-03,Pacers,Ian Mahinmi,relinquished,sore lower back (DTD)
133,2015-11-03,Pacers,Shayne Whittington,relinquished,placed on IL
134,2015-11-03,Pacers,Glenn Robinson III,acquired,returned to lineup
135,2015-11-03,Pelicans,Omer Asik,relinquished,sprained right calf (DTD)
136,2015-11-03,Lakers,Larry Nance Jr.,acquired,activated from IL
137,2015-11-03,Lakers,Larry Nance Jr.,relinquished,nose injury (DTD)
138,2015-11-04,Bucks,John Henson,relinquished,placed on IL with sore left Achilles
139,2015-11-04,Bucks,Michael Carter-Williams,relinquished,strained left ankle (DTD)
140,2015-11-04,Bucks,O.J. Mayo,relinquished,placed on IL with strained right hamstring
141,2015-11-04,Bucks,Jabari Parker,acquired,activated from IL
142,2015-11-04,Bucks,Tyler Ennis,acquired,activated from IL
143,2015-11-04,Cavaliers,Sasha Kaun,acquired,returned to lineup
144,2015-11-04,Celtics,Marcus Smart,relinquished,placed on IL with sprained left toe
145,2015-11-04,Hawks,Kyle Korver,relinquished,placed on IL
146,2015-11-04,Hawks,Mike Muscala,acquired,returned to lineup
147,2015-11-04,Hawks,Thabo Sefolosha,acquired,activated from IL
148,2015-11-04,Jazz,Jeff Withey,relinquished,placed on IL
149,2015-11-04,Jazz,Tibor Pleiss,acquired,activated from IL
150,2015-11-04,Knicks,Arron Afflalo,relinquished,placed on IL with strained left hamstring
151,2015-11-04,Knicks,Louis Amundson / Lou Amundson,acquired,activated from IL
152,2015-11-04,Magic,Nikola Vucevic,relinquished,sprained right knee (DTD)
153,2015-11-04,Pacers,C.J. Miles,relinquished,sore right ankle (DTD)
154,2015-11-04,Rockets,Patrick Beverley,relinquished,concussion (DTD)
155,2015-11-04,Suns,Cory Jefferson,relinquished,placed on IL
156,2015-11-04,Suns,Devin Booker,acquired,activated from IL
157,2015-11-05,Grizzlies,Jordan Adams,relinquished,placed on IL with right knee injury
158,2015-11-05,Grizzlies,Jarnell Stokes,acquired,activated from IL
159,2015-11-05,Heat,Mario Chalmers,relinquished,placed on IL with knee injury
160,2015-11-05,Heat,Amare Stoudemire / Amar'e Stoudemire,acquired,activated from IL
161,2015-11-05,Mavericks,Salah Mejri,relinquished,placed on IL
162,2015-11-05,Mavericks,John Jenkins,acquired,activated from IL
163,2015-11-05,Nuggets,Nikola Jokic,acquired,returned to lineup
164,2015-11-06,Bucks,Michael Carter-Williams,relinquished,placed on IL with strained left ankle
165,2015-11-06,Bucks,John Henson,acquired,activated from IL
166,2015-11-06,Celtics,Jordan Mickey,acquired,activated from IL
167,2015-11-06,Hawks,Mike Muscala,relinquished,ankle injury (DTD)
168,2015-11-06,Hawks,Thabo Sefolosha,relinquished,placed on IL with ankle injury
169,2015-11-06,Hawks,Kyle Korver,acquired,activated from IL
170,2015-11-06,Heat,Josh Richardson,acquired,activated from IL (P)
171,2015-11-06,Heat,Mario Chalmers,acquired,activated from IL
172,2015-11-06,Lakers,Larry Nance Jr.,acquired,returned to lineup
173,2015-11-06,Magic,Nikola Vucevic,relinquished,placed on IL with bone bruise in right knee
174,2015-11-06,Magic,Roy Devyn Marble / Roy Marble (Devyn),acquired,activated from IL
175,2015-11-06,Pacers,Ian Mahinmi,acquired,returned to lineup
176,2015-11-06,Pelicans,Kendrick Perkins,relinquished,placed on IL with strained right pectoral muscle
177,2015-11-06,Rockets,Dwight Howard,relinquished,rest / back injury (DTD)
178,2015-11-06,Rockets,Patrick Beverley,relinquished,placed on IL with concussion
179,2015-11-06,Rockets,Chuck Hayes,acquired,returned to lineup
180,2015-11-06,Wizards,Drew Gooden,relinquished,back injury (DTD)
181,2015-11-06,Pelicans,Norris Cole (Gene),acquired,activated from IL
182,2015-11-06,Pelicans,Norris Cole (Gene),relinquished,sprained left ankle (DTD)
183,2015-11-07,Clippers,Chris Paul,relinquished,sore right groin (DTD)
184,2015-11-07,Hawks,Tiago Splitter,relinquished,placed on IL with calf injury
185,2015-11-07,Hawks,Tim Hardaway Jr.,relinquished,placed on IL
186,2015-11-07,Hawks,Mike Muscala,acquired,returned to lineup
187,2015-11-07,Hawks,Thabo Sefolosha,acquired,activated from IL
188,2015-11-07,Hawks,Walter Tavares / Edy Tavares,acquired,activated from IL
189,2015-11-07,Kings,Darren Collison,relinquished,sore hamstring (DTD)
190,2015-11-07,Kings,Seth Curry,relinquished,sprained right ankle (DTD)
191,2015-11-07,Kings,Duje Dukan,acquired,activated from IL
192,2015-11-07,Pacers,Rodney Stuckey,relinquished,ankle injury (DTD)
193,2015-11-07,Pelicans,Jrue Holiday,relinquished,lower right leg injury (DTD)
194,2015-11-07,Rockets,Dwight Howard,acquired,returned to lineup
195,2015-11-07,Thunder,Nick Collison,relinquished,placed on IL with strained hamstring
196,2015-11-07,Timberwolves,Kevin Martin,relinquished,placed on IL for personal reasons
197,2015-11-07,Timberwolves,Tyus Jones,acquired,activated from IL
198,2015-11-08,Blazers,Luis Montero,relinquished,placed on IL
199,2015-11-08,Blazers,Cliff Alexander,acquired,activated from IL
200,2015-11-08,Cavaliers,Anderson Varejao,relinquished,DNP
201,2015-11-08,Knicks,Louis Amundson / Lou Amundson,acquired,returned to lineup
202,2015-11-08,Raptors,DeMarre Carroll,relinquished,placed on IL with sore right heel
203,2015-11-08,Raptors,Lucas Nogueira,acquired,activated from IL
204,2015-11-09,76ers,Nerlens Noel,relinquished,sore left wrist (DTD)
205,2015-11-09,Bulls,Joakim Noah,relinquished,sore left knee (DTD)
206,2015-11-09,Clippers,Chris Paul,acquired,returned to lineup
207,2015-11-09,Grizzlies,Brandan Wright,relinquished,sore right knee (DTD)
208,2015-11-09,Hawks,Walter Tavares / Edy Tavares,relinquished,placed on IL
209,2015-11-09,Hawks,Tiago Splitter,acquired,activated from IL
210,2015-11-09,Kings,Seth Curry,relinquished,placed on IL with sprained right ankle
211,2015-11-09,Kings,DeMarcus Cousins,acquired,activated from IL
212,2015-11-09,Magic,Jason Smith,relinquished,sore left knee (DTD)
213,2015-11-09,Nets,Brook Lopez,relinquished,sore right foot (DTD)
214,2015-11-09,Nuggets,Jameer Nelson,relinquished,sprained back / SI joint (DTD)
215,2015-11-09,Pacers,Rodney Stuckey,relinquished,sore right ankle (DTD)
216,2015-11-09,Pacers,C.J. Miles,acquired,returned to lineup
217,2015-11-09,Pacers,Rodney Stuckey,acquired,returned to lineup
218,2015-11-09,Timberwolves,Tyus Jones,relinquished,placed on IL
219,2015-11-09,Timberwolves,Kevin Martin,acquired,activated from IL
220,2015-11-09,Warriors,Ian Clark,relinquished,placed on IL
221,2015-11-09,Warriors,Andrew Bogut,acquired,activated from IL
222,2015-11-09,Wizards,Bradley Beal,relinquished,sore left shoulder (DTD)
223,2015-11-10,Cavaliers,J.R. Smith,acquired,returned to lineup
224,2015-11-10,Celtics,Jordan Mickey,relinquished,placed on IL
225,2015-11-10,Celtics,James Young,acquired,activated from IL
226,2015-11-10,Heat,Gerald Green (b. 1986-01-26),relinquished,suspended by team for 2 games for conduct detrimental to the team
227,2015-11-10,Lakers,Kobe Bryant,relinquished,placed on IL for rest / sore back
228,2015-11-10,Lakers,Anthony Brown,acquired,activated from IL
229,2015-11-10,Mavericks,John Jenkins,relinquished,placed on IL
230,2015-11-10,Mavericks,Salah Mejri,acquired,activated from IL
231,2015-11-10,Pelicans,Jrue Holiday,acquired,returned to lineup
232,2015-11-10,Pelicans,Omer Asik,acquired,returned to lineup
233,2015-11-10,Raptors,Terrence Ross,relinquished,placed on IL with left thumb injury
234,2015-11-10,Raptors,Bruno Caboclo,acquired,activated from IL
235,2015-11-10,Timberwolves,Andrew Wiggins,relinquished,sore right knee (DTD)
236,2015-11-10,Timberwolves,Kevin Garnett,relinquished,placed on IL for rest
237,2015-11-10,Timberwolves,Ricky Rubio,relinquished,sore left knee (DTD)
238,2015-11-10,Timberwolves,Tyus Jones,acquired,activated from IL
239,2015-11-10,Wizards,Nene / Nene Hilario / Maybyner Hilario,relinquished,sore back (DTD)
240,2015-11-10,Wizards,Drew Gooden,acquired,returned to lineup
241,2015-11-11,76ers,Richaun Holmes,relinquished,strained right hamstring (DTD)
242,2015-11-11,Blazers,Cliff Alexander,relinquished,placed on IL
243,2015-11-11,Blazers,Meyers Leonard,relinquished,dislocated left shoulder (out indefinitely)
244,2015-11-11,Blazers,Gerald Henderson Jr.,acquired,activated from IL
245,2015-11-11,Bucks,Jabari Parker,relinquished,rest (DTD)
246,2015-11-11,Celtics,Avery Bradley,relinquished,placed on IL with leg injury
247,2015-11-11,Celtics,Marcus Smart,acquired,activated from IL
248,2015-11-11,Grizzlies,Jarell Martin,relinquished,recovering from surgery on left foot to repair fracture (DTD) (P)
249,2015-11-11,Knicks,Cleanthony Early,relinquished,placed on IL
250,2015-11-11,Knicks,Arron Afflalo,acquired,activated from IL
251,2015-11-11,Magic,C.J. Watson,relinquished,sore left calf (DTD)
252,2015-11-11,Magic,Jason Smith,relinquished,placed on IL
253,2015-11-11,Magic,Nikola Vucevic,acquired,activated from IL
254,2015-11-11,Mavericks,Chandler Parsons,relinquished,placed on IL with rehab of knee / rest
255,2015-11-11,Mavericks,John Jenkins,acquired,activated from IL
256,2015-11-11,Pacers,Rodney Stuckey,relinquished,sprained right ankle (DTD)
257,2015-11-11,Pelicans,Anthony Davis,relinquished,strained right hip (DTD)
258,2015-11-11,Pelicans,Jrue Holiday,relinquished,lower right leg injury (DTD)
259,2015-11-11,Rockets,K.J. McDaniels,relinquished,placed on IL
260,2015-11-11,Rockets,Sam Dekker,relinquished,sore back (DTD)
261,2015-11-11,Rockets,Patrick Beverley,acquired,activated from IL
262,2015-11-11,Rockets,Terrence Jones,acquired,activated from IL
263,2015-11-11,Spurs,Boban Marjanovic,relinquished,placed on IL
264,2015-11-11,Spurs,Matt Bonner,acquired,activated from IL
265,2015-11-11,Thunder,Kevin Durant,relinquished,strained left hamstring (DTD)
266,2015-11-11,Warriors,Brandon Rush,relinquished,placed on IL
267,2015-11-11,Warriors,Ian Clark,acquired,activated from IL
268,2015-11-12,Clippers,Chris Paul,relinquished,sore right groin (DTD)
269,2015-11-12,Clippers,J.J. Redick,relinquished,lower back spasms (DTD)
270,2015-11-12,Heat,Dwyane Wade,relinquished,placed on IL for personal reasons
271,2015-11-12,Jazz,Rudy Gobert,relinquished,placed on IL with sprained left ankle
272,2015-11-12,Jazz,Jeff Withey,acquired,activated from IL
273,2015-11-12,Magic,Victor Oladipo,relinquished,concussion (DTD)
274,2015-11-12,Pacers,Myles Turner,relinquished,chip fracture in left thumb (out indefinitely)
275,2015-11-12,Timberwolves,Ricky Rubio,relinquished,placed on IL with hamstring injury
276,2015-11-12,Timberwolves,Andrew Wiggins,acquired,returned to lineup
277,2015-11-12,Timberwolves,Kevin Garnett,acquired,activated from IL
278,2015-11-12,Warriors,Leandro Barbosa,relinquished,placed on IL for personal reasons
279,2015-11-12,Warriors,Brandon Rush,acquired,activated from IL
280,2015-11-13,76ers,Nerlens Noel,acquired,returned to lineup
281,2015-11-13,Blazers,Meyers Leonard,relinquished,placed on IL with dislocated left shoulder
282,2015-11-13,Blazers,Cliff Alexander,acquired,activated from IL
283,2015-11-13,Bulls,Cristiano Felicio,relinquished,placed on IL
284,2015-11-13,Bulls,Joakim Noah,acquired,returned to lineup
285,2015-11-13,Bulls,Kirk Hinrich,acquired,activated from IL
286,2015-11-13,Celtics,James Young,relinquished,placed on IL
287,2015-11-13,Celtics,Avery Bradley,acquired,activated from IL
288,2015-11-13,Hawks,Lamar Patterson,relinquished,placed on IL
289,2015-11-13,Hawks,Tim Hardaway Jr.,acquired,activated from IL
290,2015-11-13,Hornets,Cody Zeller,relinquished,placed on IL with ankle injury
291,2015-11-13,Hornets,Aaron Harrison,acquired,activated from IL
292,2015-11-13,Jazz,Rodney Hood,relinquished,placed on IL with sore right foot
293,2015-11-13,Kings,Duje Dukan,relinquished,placed on IL
294,2015-11-13,Kings,Rudy Gay,relinquished,gastroenteritis (DTD)
295,2015-11-13,Kings,Seth Curry,acquired,activated from IL
296,2015-11-13,Lakers,Anthony Brown,relinquished,placed on IL
297,2015-11-13,Lakers,Kobe Bryant,acquired,activated from IL
298,2015-11-13,Magic,Victor Oladipo,relinquished,placed on IL with concussion
299,2015-11-13,Mavericks,John Jenkins,relinquished,placed on IL
300,2015-11-13,Mavericks,Chandler Parsons,acquired,activated from IL
301,2015-11-13,Nuggets,Jameer Nelson,acquired,returned to lineup
302,2015-11-13,Pelicans,Jrue Holiday,acquired,returned to lineup
303,2015-11-13,Raptors,Lucas Nogueira,relinquished,placed on IL
304,2015-11-13,Raptors,DeMarre Carroll,acquired,activated from IL
305,2015-11-13,Rockets,Sam Dekker,relinquished,placed on IL with sore back
306,2015-11-13,Thunder,Kevin Durant,relinquished,placed on IL with strained left hamstring
307,2015-11-13,Thunder,Steve Novak,acquired,activated from IL
308,2015-11-13,Jazz,Rudy Gobert,acquired,activated from IL
309,2015-11-13,Magic,Jason Smith,acquired,activated from IL
310,2015-11-13,Jazz,Rudy Gobert,relinquished,sprained left ankle (DTD)
311,2015-11-13,Magic,Jason Smith,relinquished,sore left knee (DTD)
312,2015-11-14,Bucks,Tyler Ennis,relinquished,placed on IL recovering from surgery on right shoulder
313,2015-11-14,Bucks,Michael Carter-Williams,acquired,activated from IL
314,2015-11-14,Grizzlies,James Ennis,relinquished,sore shoulder (DTD)
315,2015-11-14,Mavericks,Chandler Parsons,relinquished,placed on IL for rest / knee injury
316,2015-11-14,Mavericks,Dirk Nowitzki,relinquished,personal reasons (DTD)
317,2015-11-14,Mavericks,Wesley Matthews / Wes Matthews Jr.,relinquished,Achilles injury (DTD)
318,2015-11-14,Mavericks,John Jenkins,acquired,activated from IL
319,2015-11-14,Rockets,Dwight Howard,relinquished,back injury (DTD)
320,2015-11-14,Rockets,Patrick Beverley,relinquished,placed on IL with ankle injury
321,2015-11-14,Rockets,Sam Dekker,acquired,activated from IL
322,2015-11-14,Spurs,Emanuel Ginobili / Manu Ginobili,relinquished,placed on IL with strained abductor (P) / adductor (CBC)
323,2015-11-14,Spurs,Kawhi Leonard,relinquished,placed on IL with upper respiratory infection
324,2015-11-14,Spurs,Boban Marjanovic,acquired,activated from IL
325,2015-11-14,Suns,Markieff Morris,relinquished,sprained left knee (DTD)
326,2015-11-14,Suns,Ronnie Price,relinquished,placed on IL with concussion
327,2015-11-14,Suns,Cory Jefferson,acquired,activated from IL
328,2015-11-14,Warriors,Kevon Looney,relinquished,placed on IL
329,2015-11-14,Warriors,Klay Thompson,relinquished,sore back (DTD)
330,2015-11-14,Warriors,Brandon Rush,acquired,activated from IL (P)
331,2015-11-14,Wizards,Nene / Nene Hilario / Maybyner Hilario,acquired,returned to lineup
332,2015-11-14,Spurs,Jonathon Simmons,acquired,activated from IL
333,2015-11-15,Hawks,Jeff Teague,relinquished,placed on IL with sore left ankle
334,2015-11-15,Hornets,P.J. Hairston,relinquished,placed on IL with bruised right quadricep
335,2015-11-15,Hornets,Cody Zeller,acquired,activated from IL
336,2015-11-15,Jazz,Tibor Pleiss,relinquished,placed on IL
337,2015-11-15,Jazz,Rodney Hood,acquired,activated from IL
338,2015-11-15,Jazz,Rudy Gobert,acquired,returned to lineup
339,2015-11-15,Kings,Rudy Gay,acquired,returned to lineup
340,2015-11-15,Pelicans,Anthony Davis,acquired,returned to lineup
341,2015-11-15,Raptors,Bruno Caboclo,relinquished,placed on IL
342,2015-11-15,Raptors,Terrence Ross,acquired,activated from IL
343,2015-11-15,Hawks,Lamar Patterson,acquired,activated from IL
344,2015-11-16,76ers,Phil Pressey,relinquished,illness (DTD)
345,2015-11-16,76ers,Robert Covington,acquired,returned to lineup
346,2015-11-16,Bucks,Jabari Parker,relinquished,sprained right foot (DTD)
347,2015-11-16,Bulls,Derrick Rose,relinquished,sprained left ankle (DTD)
348,2015-11-16,Hawks,Kent Bazemore,relinquished,sprained ankle (DTD)
349,2015-11-16,Lakers,Kobe Bryant,relinquished,placed on IL for rest / back injury
350,2015-11-16,Lakers,Anthony Brown,acquired,activated from IL
351,2015-11-16,Mavericks,John Jenkins,relinquished,placed on IL
352,2015-11-16,Mavericks,Chandler Parsons,acquired,activated from IL
353,2015-11-16,Mavericks,Dirk Nowitzki,acquired,returned to lineup
354,2015-11-16,Pacers,George Hill,relinquished,upper respiratory infection (DTD)
355,2015-11-16,Pacers,Myles Turner,relinquished,surgery on left thumb to repair chip fracture and torn ligament (out indefinitely)
356,2015-11-16,Rockets,Sam Dekker,relinquished,placed on IL with sore back
357,2015-11-16,Rockets,Dwight Howard,acquired,returned to lineup
358,2015-11-16,Spurs,Matt Bonner,relinquished,placed on IL
359,2015-11-16,Spurs,Emanuel Ginobili / Manu Ginobili,acquired,activated from IL
360,2015-11-16,Spurs,Kawhi Leonard,acquired,activated from IL
361,2015-11-16,Thunder,Andre Roberson,relinquished,placed on IL with illness
362,2015-11-16,Thunder,Josh Huestis,acquired,activated from IL
363,2015-11-16,Spurs,Jonathon Simmons,relinquished,placed on IL
364,2015-11-16,Rockets,K.J. McDaniels,acquired,activated from IL
365,2015-11-17,Bucks,Jabari Parker,relinquished,placed on IL with sprained right foot
366,2015-11-17,Bucks,Tyler Ennis,acquired,activated from IL
367,2015-11-17,Hawks,Kent Bazemore,relinquished,placed on IL with sprained ankle
368,2015-11-17,Hawks,Walter Tavares / Edy Tavares,acquired,activated from IL
369,2015-11-17,Heat,Chris Andersen,relinquished,placed on IL for personal reasons
370,2015-11-17,Heat,Jarnell Stokes,relinquished,placed on IL
371,2015-11-17,Heat,Dwyane Wade,acquired,activated from IL
372,2015-11-17,Nuggets,Darrell Arthur,relinquished,illness (DTD)
373,2015-11-17,Nuggets,Wilson Chandler,relinquished,surgery on right hip to repair torn labrum (out for season)
